SAE Grade,Conditions,tensile strength,yield strength,Hardness (HB),C (Min),C (Max),Mn (Min),Mn (Max),P (Min),P (Max),S (Min),S(Max),Si (Min),Si (Max),Ni (Min),Ni (Max),Cr (Min),Cr (Max),Mo (Min),Mo (Max),Ti (Min),Ti (Max)
1090,Hot rolled,840,460,248,0.85,0.9,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1090,Cold drawn,835,595,197,0.85,0.9,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1095,Hot rolled,865,500,254,0.9,1.03,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1095,Cold drawn,860,610,197,0.9,1.03,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1108,Hot rolled,345,190,101,0.08,0.13,0.5,0.8,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1108,Cold drawn,385,325,121,0.08,0.13,0.5,0.8,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1109,Hot rolled,345,190,101,0.08,0.13,0.6,0.9,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1109,Cold drawn,385,325,121,0.08,0.13,0.6,0.9,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1117,Hot rolled,425,235,121,0.14,0.2,1,1.3,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1117,Cold drawn,475,400,137,0.14,0.2,1,1.3,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1118,Hot rolled,450,250,131,0.14,0.2,1.3,1.6,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1118,Cold drawn,495,420,143,0.14,0.2,1.3,1.6,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1119,Hot rolled,425,235,121,0.14,0.2,1,1.3,0,0.04,0.24,0.33,0,0,0,0,0,0,0,0,0,0
1119,Cold drawn,475,400,137,0.14,0.2,1,1.3,0,0.04,0.24,0.33,0,0,0,0,0,0,0,0,0,0
1132,Hot rolled,570,315,167,0.27,0.34,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1132,Cold drawn,635,530,183,0.27,0.34,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1137,Hot rolled,605,330,179,0.32,0.39,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1137,Cold drawn,675,565,197,0.32,0.39,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1140,Hot rolled,545,300,156,0.37,0.44,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1140,Cold drawn,605,510,170,0.37,0.44,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1141,Hot rolled,700,380,181,0.37,0.45,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1141,Cold drawn,725,605,212,0.37,0.45,1.35,1.65,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1144,Hot rolled,670,365,197,0.4,0.48,1.35,1.65,0,0.04,0.24,0.33,0,0,0,0,0,0,0,0,0,0
1144,Cold drawn,745,620,217,0.4,0.48,1.35,1.65,0,0.04,0.24,0.33,0,0,0,0,0,0,0,0,0,0
1145,Hot rolled,585,325,170,0.42,0.49,0.7,1,0,0.04,0.04,0.07,0,0,0,0,0,0,0,0,0,0
1145,Cold drawn,650,550,187,0.42,0.49,0.7,1,0,0.04,0.04,0.07,0,0,0,0,0,0,0,0,0,0
1146,Hot rolled,585,325,170,0.42,0.49,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1146,Cold drawn,650,550,187,0.42,0.49,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1151,Hot rolled,635,350,187,0.48,0.55,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1151,Cold drawn,705,595,207,0.48,0.55,0.7,1,0,0.04,0.08,0.13,0,0,0,0,0,0,0,0,0,0
1211,Hot rolled,380,230,121,0,0.13,0.07,0.12,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0
1211,Cold drawn,515,400,163,0,0.13,0.07,0.12,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0
1212,Hot rolled,385,230,121,0,0.13,0.07,0.12,0,0.16,0,0.23,0,0,0,0,0,0,0,0,0,0
1212,Cold drawn,540,415,167,0,0.13,0.07,0.12,0,0.16,0,0.23,0,0,0,0,0,0,0,0,0,0
1213,Hot rolled,385,230,121,0,0.13,0.07,0.12,0,0.24,0,0.33,0,0,0,0,0,0,0,0,0,0
1213,Cold drawn,540,415,167,0,0.13,0.07,0.12,0,0.24,0,0.33,0,0,0,0,0,0,0,0,0,0
12L14,Hot rolled,395,235,121,0,0.015,0.85,1.15,0.04,0.09,0.26,0.35,0,0,0,0,0,0,0,0,0,0
12L14,Cold drawn,540,415,163,0,0.015,0.85,1.15,0.04,0.09,0.26,0.35,0,0,0,0,0,0,0,0,0,0
1340,Cold drawn,850,725,,0.38,0.43,1.6,1.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
1340,Hot rolled,700,450,,0.38,0.43,1.6,1.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
1524,Hot rolled,660,400,149,0.19,0.25,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1524,Cold drawn,740,450,163,0.19,0.25,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1527,Hot rolled,515,285,149,0.22,0.29,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1527,Cold drawn,570,485,163,0.22,0.29,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1536,Hot rolled,570,315,163,0.3,0.37,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1536,Cold drawn,635,535,187,0.3,0.37,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1541,Hot rolled,635,350,187,0.36,0.44,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1541,Cold drawn,705,600,207,0.36,0.44,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1541,Cold drawn,710,525,184,0.36,0.44,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1547,Hot rolled,650,360,192,0.43,0.51,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1547,Cold drawn,710,605,207,0.43,0.51,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1547,Cold drawn,735,550,187,0.43,0.51,1.35,1.65,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1548,Hot rolled,660,365,197,0.44,0.52,1.05,1.4,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1548,Cold drawn,735,615,217,0.44,0.52,1.05,1.4,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1548,Cold drawn,750,560,192,0.44,0.52,1.05,1.4,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1552,Hot rolled,745,410,217,0.47,0.55,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1552,Cold drawn,765,575,193,0.47,0.55,1.2,1.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
3140,Cold drawn,960,835,,0.38,0.43,0.7,0.9,0,0.04,0,0.04,0.15,0.35,1.1,1.4,0.55,0.75,0,0,0,0
3140,Hot rolled,850,685,,0.38,0.43,0.7,0.9,0,0.04,0,0.04,0.15,0.35,1.1,1.4,0.55,0.75,0,0,0,0
4130,Cold drawn,850,725,,0.28,0.33,0.4,0.6,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4130,Hot rolled,560,460,,0.28,0.33,0.4,0.6,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4140,Cold drawn,1100,950,,0.38,0.43,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4140,Hot rolled,655,415,,0.38,0.43,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4150,Cold drawn,1180,1000,,0.48,0.53,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4150,Hot rolled,930,825,,0.48,0.53,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4320,Cold drawn,860,705,,0.17,0.22,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4320,Hot rolled,760,645,,0.17,0.22,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4340,Cold drawn,1470,1340,,0.38,0.43,0.6,0.8,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4340,Hot rolled,745,470,,0.38,0.43,0.6,0.8,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4419,Cold drawn,965,815,,0.18,0.23,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4419,Hot rolled,870,750,,0.18,0.23,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4620,Cold drawn,860,705,,0.17,0.22,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4620,Hot rolled,760,645,,0.17,0.22,0.45,0.65,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4820,Cold drawn,880,720,,0.18,0.23,0.5,0.7,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
4820,Hot rolled,775,655,,0.18,0.23,0.5,0.7,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5140,Cold drawn,950,800,,0.38,0.43,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5140,Hot rolled,825,690,,0.38,0.43,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5150,Cold drawn,1080,950,,0.48,0.53,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5150,Hot rolled,875,750,,0.48,0.53,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5160,Cold drawn,1100,980,,0.56,0.64,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
5160,Hot rolled,905,770,,0.56,0.64,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
6150,Cold drawn,1160,1000,,0.48,0.53,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
6150,Hot rolled,880,745,,0.48,0.53,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8620,Cold drawn,820,670,,0.18,0.23,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8620,Hot rolled,740,595,,0.18,0.23,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8630,Cold drawn,850,700,,0.28,0.33,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8630,Hot rolled,760,620,,0.28,0.33,0.7,0.9,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8650,Cold drawn,1050,910,,0.48,0.53,0.75,1,0,0.035,0,0.045,0.15,0.3,0.4,0.7,0.4,0.6,0.15,0.25,0,0
8650,Hot rolled,875,735,,0.48,0.53,0.75,1,0,0.035,0,0.045,0.15,0.3,0.4,0.7,0.4,0.6,0.15,0.25,0,0
8740,Cold drawn,1150,990,,0.38,0.43,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
8740,Hot rolled,900,760,,0.38,0.43,0.75,1,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
9255,Cold drawn,1300,1100,,0.51,0.59,0.7,0.95,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
9255,Hot rolled,1080,895,,0.51,0.59,0.7,0.95,0,0.035,0,0.04,0,0,0,0,0,0,0,0,0,0
9310,Cold drawn,1250,1050,,0.08,0.13,0.45,0.65,0,0.025,0,0.025,0.15,0.35,3,3.5,1,1.4,0.08,0.15,0,0
9310,Hot rolled,1000,840,,0.08,0.13,0.45,0.65,0,0.025,0,0.025,0.15,0.35,3,3.5,1,1.4,0.08,0.15,0,0
